ar,sveitarfelag,hluti,name,y,is_percent
2002,Akraneskaupstaður,A og B-hluti,Eiginfjárhlutfall,0.6032066343797124,TRUE
2002,Akraneskaupstaður,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Akraneskaupstaður,A og B-hluti,Framlegð sem hlutfall af tekjum,0.07060650200886782,TRUE
2002,Akraneskaupstaður,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Akraneskaupstaður,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.5530612951112065,TRUE
2002,Akraneskaupstaður,A og B-hluti,Launa- og launatengd gjöld á íbúa,171135.93466424683,FALSE
2002,Akraneskaupstaður,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.0846973299872953,TRUE
2002,Akraneskaupstaður,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,0.03347342348190715,TRUE
2002,Akraneskaupstaður,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Akraneskaupstaður,A og B-hluti,Skuldir sem hlutfall af tekjum,1.253266151718283,TRUE
2002,Akraneskaupstaður,A og B-hluti,Skuldir á íbúa,383661.16152450093,FALSE
2002,Akraneskaupstaður,A og B-hluti,Veltufjárhlutfall,0.7667598241368733,TRUE
2002,Akraneskaupstaður,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.1350764270905772,TRUE
2002,Akraneskaupstaður,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Akureyrarbær,A og B-hluti,Eiginfjárhlutfall,0.3881778255147418,TRUE
2002,Akureyrarbær,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Akureyrarbær,A og B-hluti,Framlegð sem hlutfall af tekjum,0.08193910647863285,TRUE
2002,Akureyrarbær,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Akureyrarbær,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.5112908217826754,TRUE
2002,Akureyrarbær,A og B-hluti,Launa- og launatengd gjöld á íbúa,256697.87420831504,FALSE
2002,Akureyrarbær,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.1629985436758117,TRUE
2002,Akureyrarbær,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.0037496740534150442,TRUE
2002,Akureyrarbær,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Akureyrarbær,A og B-hluti,Skuldir sem hlutfall af tekjum,1.421341616756901,TRUE
2002,Akureyrarbær,A og B-hluti,Skuldir á íbúa,691820.7186304635,FALSE
2002,Akureyrarbær,A og B-hluti,Veltufjárhlutfall,1.0544831617407437,TRUE
2002,Akureyrarbær,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.14239549869054502,TRUE
2002,Akureyrarbær,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Bláskógabyggð,A og B-hluti,Eiginfjárhlutfall,0.37492386840249214,TRUE
2002,Bláskógabyggð,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Bláskógabyggð,A og B-hluti,Framlegð sem hlutfall af tekjum,0.05369220816023183,TRUE
2002,Bláskógabyggð,A og B-hluti,Handbært fé á íbúa,0,TRUE
