sveitarfelag,ar,hluti,heildarskuldir,eignir,langtimaskuldir,tekjur,utsvar,fasteignaskattur,framlag_jofnunarsjods,gjold,afskriftir,fjarmagnslidir,oreglulegir_lidir,rekstrarnidurstada,afborganir_langtimalana,tekin_ny_langtimalan,adrar_fjarmognunarhreyfingar,ny_fjarfesting,eigid_fe,veltufjarmunir,handbaert_fe,skammtimakrofur_eigin_fyrirtaeki,skammtimaskuldir,fjarfestingarhreyfingar,nyjar_langtimaskuldir,launagjold,veltufe,skatttekjur_an_jofnundarsjóðs,mannfjoldi,eiginfjarhlutfall,fjarf_nylan,fjarfesting_hlutf_skuldir,fjarmagnslidir_a_ibua,framlegd,framlegd_hlutf,gjold_a_ibua,handbaert_fe_per_ibui,jofnunarsjodur_a_ibua,launagjold_per_ibui,launagjold_hlutf_gjold,nettoskuldir,nettoskuldir_hlutf_tekjur,rekstrarnidurstada_hlutf,rekstrarnidurstada_a_ibua,rekstur_3_ar,tekjur_3_ar,rekstur_3_ar_hlutf_tekjur,utsvar_a_ibua,fasteignaskattur_a_ibua,skuldahlutfall,skuldir_hlutf_tekjur,skuldir_per_ibui,tekjur_a_ibua,ny_langtimalan_a_ibua,veltufe_hlutf_skuldir,veltufe_hlutf_tekjur,veltufjarhlutfall,veltufe_hlutf_afborganir
Akraneskaupstaður,2002,A-hluti,1171716000,4835151000,813449000,1564050000,0,0,133846000,1564466000,79922000,88686000,0,88270000,-121982000,82820000,23284000,-133560000,2815373000,273168000,0,1728000,358267000,-134678000,82820000,903735000,194708000,NA,5510,0.5822719910919018,216380000,0.1846693226003571,16095.46279491833,79506000,0.05083341325405198,283932.12341197825,0,24291.47005444646,164017.24137931035,0.5776635606015088,900276000,0.5756056392059078,0.0564368146798376,16019.963702359346,NA,NA,NA,0,0,0.41772800890809825,0.7491550781624629,212652.63157894736,283856.62431941926,15030.852994555355,0.2162758976136207,0.12448962629071961,0.7624704480178192,-1.5962027184338672
Akraneskaupstaður,2002,A og B-hluti,1218460000,5327642000,866368000,1686771000,0,0,133846000,1704981000,137307000,74672000,0,56462000,-126393000,82820000,-38000,-160787000,3213669000,269970000,0,0,352092000,-166579000,82820000,942959000,227843000,NA,5510,0.6032066343797124,243607000,0.19993023981090885,13552.087114337568,119097000,0.07060650200886782,309433.9382940109,0,24291.47005444646,171135.93466424683,0.5530612951112065,948490000,0.5623110665288886,0.03347342348190715,10247.186932849365,NA,NA,NA,0,0,0.39679336562028755,0.7223624309405366,221136.1161524501,306129.0381125227,15030.852994555355,0.24021655473436726,0.1350764270905772,0.7667598241368733,-1.8026552103360154
Akraneskaupstaður,2003,A-hluti,1242769000,5212060000,899401000,1673937000,0,0,143586000,1783278000,85169000,54835000,0,-57022000,-146583000,235443000,-25922000,-228561000,3045852000,340620000,0,8105000,343368000,-111434000,235443000,983423000,114788000,NA,5595,0.5843854445267322,464004000,0.37336303045859687,9800.714924039321,-24172000,-0.014440208920646357,318727.0777479893,0,25663.27077747989,175768.1858802502,0.551469260541542,910254000,0.5437803214816328,-0.03406460338710477,-10191.59964253798,NA,NA,NA,0,0,0.41561455547326775,0.742422803247673,222121.35835567472,299184.45040214475,42080.965147453084,0.12610546067361417,0.06857366794568732,0.9919969245823723,-0.7830921730350723
Akraneskaupstaður,2003,A og B-hluti,1339632000,5737273000,994708000,1802920000,0,0,143586000,1912404000,137921000,38011000,0,-73989000,-152781000,285443000,-5871000,-312118000,3427183000,337823000,0,0,344924000,-199899000,285443000,1023502000,156316000,NA,5595,0.5973540042455711,597561000,0.44606354580959545,6793.744414655943,28437000,0.015772746433563332,341805.8981233244,0,25663.27077747989,182931.54602323505,0.5351913089493643,1001809000,0.5556591529296918,-0.04103842655248153,-13224.128686327078,NA,NA,NA,0,0,0.40264599575442894,0.743034632706942,239433.78016085792,322237.7122430742,51017.51563896336,0.15603373497343306,0.08670157300379384,0.9794128561654162,-1.0231376938231849
Akraneskaupstaður,2004,A-hluti,1096422000,5207079000,780462000,1907398000,0,0,164940000,1923490000,93328000,102110000,0,86018000,-132540000,0,-16646000,-101860000,3026675000,416146000,0,11412000,315960000,-78483000,0,999679000,298387000,NA,5588,0.5812615863903736,101860000,0.09290218547238198,18273.085182534,77236000,0.040492859906532355,344217.96707229776,0,29516.82176091625,178897.45884037222,0.5197214438338645,691688000,0.3626343322159298,0.04509703795432311,15393.342877594847,117266000,5145385000,0.022790520048548358,0,0,0.4187384136096264,0.5748260195302711,196210.09305654975,341338.2247673586,0,0.4313895860561409,0.15643667446437504,1.3170844410684897,-2.2512977214425836
Akraneskaupstaður,2004,A og B-hluti,1178780000,5706881000,871072000,2051001000,0,0,164940000,2062482000,141867000,81017000,0,69536000,-140608000,0,-18167000,-148137000,3391524000,404134000,0,0,307708000,-121691000,0,1038678000,348641000,NA,5588,0.5942867916818311,148137000,0.12566976026060842,14498.38940586972,130386000,0.06357188514291315,369091.26700071583,0,29516.82176091625,185876.5211166786,0.5036058496510515,774646000,0.3776916734804127,0.033903445195784886,12443.808160343593,52009000,5540692000,0.00938673364265691,0,0,0.4057132083181689,0.5747339957415916,210948.46098783106,367036.6857551897,0,0.45006493288547283,0.16998577767636389,1.3133685182055714,-2.4795246358670915
Akraneskaupstaður,2005,A-hluti,1115779000,6301650000,680017000,2055852000,0,0,213188000,2182174000,95546000,103279000,0,-23043000,-111736000,0,205388000,-389865000,3877377000,597645000,0,906000,435762000,-325035000,0,1173620000,304755000,NA,5657,0.6152955178405656,389865000,0.3494105911654548,18256.849920452536,-30776000,-0.014969949198677725,385747.5693830652,0,37685.69913381651,207463.31978080256,0.5378214569507289,519040000,0.252469535744791,-0.011208491661851144,-4073.360438394909,5953000,5637187000,0.0010560231548110786,0,0,0.3847044821594344,0.5427331344863346,197238.64238995934,363417.35902421776,0,0.5871512792848336,0.14823781089300203,1.3714940724523936,-2.7274557886446624
Akraneskaupstaður,2005,A og B-hluti,1122931000,6408525000,685108000,2133413000,0,0,213188000,2199676000,104755000,94461000,0,28198000,-112173000,0,235533000,-427114000,3958276000,507607000,0,0,437823000,-416017000,0,1177810000,369337000,NA,5657,0.6176578853948451,427114000,0.38035640658241693,16698.073183666253,38492000,0.018042451227211983,388841.4353897826,0,37685.69913381651,208203.99505038006,0.5354470385638612,615324000,0.2884223542277093,0.01321731891574674,4984.620823758176,23745000,5987334000,0.00396587195569848,0,0,0.3823421146051549,0.5263542502084688,198502.91674032173,377127.9830298745,0,0.6002317478271609,0.1731202537905225,1.1593886113794845,-3.292565947242206
Akraneskaupstaður,2006,A-hluti,1424293000,8053103000,941586000,2533978000,0,0,242042000,2505419000,126673000,-44146000,0,-15587000,-244063000,398028000,-83153000,-471920000,5243839000,498950000,0,0,482707000,-485180000,398028000,1276686000,308708000,NA,5786,0.6511575724289135,869948000,0.610792863547037,-7629.7960594538545,155232000,0.061260200364801905,433013.9993086761,0,41832.35395782924,220650.88143795368,0.5095698563793122,925343000,0.3651740464992198,-0.006151197839918105,-2693.916349809886,47388000,6497228000,0.007293571966383202,0,0,0.3488424275710865,0.5620778870219079,246161.94262011754,437949.87901832006,68791.56584860008,0.3336146704519297,0.12182741918043487,1.0336498124120843,-1.264870135989478
Akraneskaupstaður,2006,A og B-hluti,1424293000,8053103000,941586000,2533978000,0,0,242042000,2505419000,126673000,-44146000,0,-15587000,-244063000,398028000,-83153000,-471920000,5243839000,498950000,0,0,482707000,-485180000,398028000,1276686000,308708000,NA,5786,0.6511575724289135,869948000,0.610792863547037,-7629.7960594538545,155232000,0.061260200364801905,433013.9993086761,0,41832.35395782924,220650.88143795368,0.5095698563793122,925343000,0.3651740464992198,-0.006151197839918105,-2693.916349809886,82147000,6718392000,0.012227181742297859,0,0,0.3488424275710865,0.5620778870219079,246161.94262011754,437949.87901832006,68791.56584860008,0.3336146704519297,0.12182741918043487,1.0336498124120843,-1.264870135989478
Akraneskaupstaður,2007,A-hluti,1877408000,9093620000,1285128000,2837403000,0,0,294074000,2815494000,126913000,140518000,0,162427000,-124833000,525891000,1886000,-594179000,5708077000,802601000,0,0,592280000,-574354000,525891000,1372386000,410351000,NA,5976,0.6277012894754784,1120070000,0.5966044674359543,23513.721552878178,148822000,0.05245007494529329,471133.5341365462,0,49209.17001338688,229649.5983935743,0.4874405699319551,1074807000,0.37879955720072195,0.057244952514676276,27179.886211512716,123797000,7427233000,0.016667983891174548,0,0,0.37229871052452157,0.6616642049085026,314157.96519410977,474799.6987951807,88000.50200803213,0.3817904051611126,0.14462203641851368,1.355104004862565,-3.2871996987975938
Akraneskaupstaður,2007,A og B-hluti,1877408000,9093620000,1285128000,2837403000,0,0,294074000,2815494000,126913000,140518000,0,162427000,-124833000,525891000,1886000,-594179000,5708077000,802601000,0,0,592280000,-574354000,525891000,1372386000,410351000,NA,5976,0.6277012894754784,1120070000,0.5966044674359543,23513.721552878178,148822000,0.05245007494529329,471133.5341365462,0,49209.17001338688,229649.5983935743,0.4874405699319551,1074807000,0.37879955720072195,0.057244952514676276,27179.886211512716,175038000,7504794000,0.02332349162415384,0,0,0.37229871052452157,0.6616642049085026,314157.96519410977,474799.6987951807,88000.50200803213,0.3817904051611126,0.14462203641851368,1.355104004862565,-3.2871996987975938
Akraneskaupstaður,2008,A-hluti,3259228000,9661267000,2493261000,3330028000,0,0,309724000,3595483000,146492000,-928154000,0,-1193609000,-217984000,652811000,98950000,-988190000,4514468000,470583000,0,0,765967000,-988074000,652811000,1590375000,199461000,NA,6401,0.467274944373238,1641001000,0.5034937721448146,-145001.40603030776,-118963000,-0.035724324239916304,561706.4521168567,0,48386.814560224964,248457.27230120293,0.44232582938092047,2788645000,0.8374238895288568,-0.3584381272469781,-186472.26995781908,-1046769000,8701409000,-0.1202987929885838,0,0,0.532725055626762,0.9787389175106035,509174.81643493206,520235.58818934544,101985.7834713326,0.07152613545288124,0.05989769455391967,0.6143645875083391,-0.9150258734586024
Akraneskaupstaður,2008,A og B-hluti,3259228000,9661267000,2493261000,3330028000,0,0,309724000,3595483000,146492000,-928154000,0,-1193609000,-217984000,652811000,98950000,-988190000,4514468000,470583000,0,0,765967000,-988074000,652811000,1590375000,199461000,NA,6401,0.467274944373238,1641001000,0.5034937721448146,-145001.40603030776,-118963000,-0.035724324239916304,561706.4521168567,0,48386.814560224964,248457.27230120293,0.44232582938092047,2788645000,0.8374238895288568,-0.3584381272469781,-186472.26995781908,-1046769000,8701409000,-0.1202987929885838,0,0,0.532725055626762,0.9787389175106035,509174.81643493206,520235.58818934544,101985.7834713326,0.07152613545288124,0.05989769455391967,0.6143645875083391,-0.9150258734586024
Akraneskaupstaður,2009,A-hluti,3351704000,10711789000,2675734000,3467393000,0,0,290078000,3233823000,196052000,-174142000,0,59428000,-274473000,250000000,-48713000,-272398000,5378819000,640903000,0,0,675970000,-247685000,250000000,1682382000,572990000,NA,6609,0.5021401187047281,522398000,0.1558604220420419,-26349.220759570282,429622000,0.1239034629186827,489305.94643667724,0,43891.36026630353,254559.23740354064,0.5202455421957232,2710801000,0.7817980252022196,0.017139101336364235,8991.980632470873,-971754000,9634824000,-0.10085851075224622,0,0,0.4978598812952719,0.9666351636517695,507142.38160084735,524647.1478287184,37827.20532607051,0.21137294843848736,0.16525095367038004,0.9481234374306552,-2.087600601880695
Akraneskaupstaður,2009,A og B-hluti,3351704000,10711789000,2675734000,3467393000,0,0,290078000,3233823000,196052000,-174142000,0,59428000,-274473000,250000000,-48713000,-272398000,5378819000,640903000,0,0,675970000,-247685000,250000000,1682382000,572990000,NA,6609,0.5021401187047281,522398000,0.1558604220420419,-26349.220759570282,429622000,0.1239034629186827,489305.94643667724,0,43891.36026630353,254559.23740354064,0.5202455421957232,2710801000,0.7817980252022196,0.017139101336364235,8991.980632470873,-971754000,9634824000,-0.10085851075224622,0,0,0.4978598812952719,0.9666351636517695,507142.38160084735,524647.1478287184,37827.20532607051,0.21137294843848736,0.16525095367038004,0.9481234374306552,-2.087600601880695
Akraneskaupstaður,2010,A-hluti,2863808000,10716153000,2278516000,3497794000,0,0,335884000,3332714000,202454000,206755000,0,371835000,-303669000,0,0,-17498000,5750197000,831067000,0,0,585292000,-4703000,0,1793053000,578945000,NA,6549,0.5365915361604113,17498000,0.006110046483563144,31570.468773858604,367534000,0.10507594215096715,508888.99068560085,0,51287.83020308444,273790.3496717056,0.5380158633474099,2032741000,0.5811494330426549,0.1063055743134101,56777.37059092991,-762346000,10295215000,-0.07404857499333428,0,0,0.46340846383958867,0.818746901618563,437289.35715376394,534095.8925026722,0,0.2848100176067684,0.165517180257042,1.4199186047306303,-1.9065001695925499
Akraneskaupstaður,2010,A og B-hluti,3067478000,11176837000,2278516000,4035675000,0,0,335884000,3870093000,226142000,217594000,0,383176000,-323747000,0,73626000,-71826000,5380599000,1181467000,0,0,788962000,-59031000,0,2174228000,641299000,NA,6549,0.4814062332661736,71826000,0.023415326858089936,33225.530615361124,391724000,0.09706529886574117,590944.1136051306,0,51287.83020308444,331993.89219728205,0.5618025199911216,1886011000,0.4673347085679595,0.09494718975140466,58509.085356542986,-751005000,10833096000,-0.06932505721356111,0,0,0.5185937667338264,0.7600904433582982,468388.76164299896,616227.6683463124,0,0.34002929993515413,0.15890749378976254,1.497495443380036,-1.9808646875492282
Akraneskaupstaður,2011,A-hluti,3119513000,11073953000,2404045000,3912415000,0,0,638196000,3935816000,195109000,-79898000,0,-103299000,-453824000,453000000,4015000,-195304000,5720028000,665172000,0,50000,715468000,-633134000,453000000,2186358000,398461000,NA,6546,0.5165299148370956,648304000,0.2078221825009224,-12205.621753742744,171708000,0.04388798223092387,601255.1176290865,0,97494.04216315308,333999.08340971585,0.5555031027873254,2454391000,0.6273340123683199,-0.026402873928251476,-15780.476626947755,327964000,10877602000,0.030150395280136192,0,0,0.48347008516290435,0.7973369389494724,476552.55117629084,597680.2627558814,69202.5664527956,0.16234617874658114,0.10184527970575719,0.9297019573202435,-0.8780077739387957
Akraneskaupstaður,2011,A og B-hluti,3389856000,11556720000,2555512000,4445406000,0,0,638196000,4554258000,224261000,-85801000,0,-194653000,-459527000,608630000,-95889000,-262267000,5259077000,999844000,0,0,834344000,-700097000,608630000,2603512000,406629000,NA,6546,0.45506657598349703,870897000,0.25691268301662373,-13107.393828292086,115409000,0.02596140824932526,695731.4390467461,0,97494.04216315308,397725.6339749465,0.5716654612013636,2390012000,0.5376363823686745,-0.04378745158484962,-29736.174763214178,247951000,11948474000,0.02075168762136487,0,0,0.5449334240165029,0.7625526217402865,517851.51237396884,679102.6581118241,92977.39077299114,0.17013680266040504,0.09147173509011325,1.1983594296836797,-0.8848859805843835
Akraneskaupstaður,2012,A-hluti,3076247000,11095121000,2321850000,4105002000,2499851000,340763000,664968000,4165105000,198413000,0,0,-159886000,-277809000,101000000,0,-78146000,5560143000,779013000,348132000,3669000,754397000,-73785000,101000000,2345696000,408984000,NA,6518,0.5011340570328165,179146000,0.058235245739370084,0,138310000,0.033693040831648806,639015.8023933722,53410.8622276772,102020.2516109236,359879.7177048174,0.5631781191590608,2300903000,0.5605120289831771,-0.03894906750349939,-24529.917152500766,108650000,11515211000,0.00943534599583108,383530.3774163854,52280.30070573796,0.49886594296718345,0.7493898906748401,471961.79809757596,629794.7223074563,15495.550782448603,0.17774934449648683,0.09963064573415555,1.0326300343188004,-1.47217692731337
Akraneskaupstaður,2012,A og B-hluti,3472775000,11649834000,2582012000,4660365000,2499851000,335401000,664968000,4809605000,232397000,0,0,-258010000,-282555000,211000000,14833000,-276097000,5001067000,1021663000,572801000,0,890763000,-271736000,211000000,2777181000,413088000,NA,6518,0.42928225415057414,487097000,0.14026160635226873,0,83157000,0.017843452175956176,737895.8269407793,87879.87112611231,102020.2516109236,426078.7051242713,0.5774239256654132,2451112000,0.5259485040334824,-0.055362616447424184,-39584.22829088678,-69487000,13141446000,-0.0052876220775095835,383530.3774163854,51457.6557226143,0.5707177458494259,0.7451723201938045,532797.6373120589,714999.2328935256,32371.893218778765,0.16853085456723316,0.08863855084312065,1.1469526686671987,-1.4619737750172532
Akraneskaupstaður,2013,A-hluti,2721223000,11193659000,1986898000,4433720000,2656670000,404166000,811926000,4137102000,184972000,0,0,316077000,-400468000,0,0,-50160000,5936819000,700862000,279743000,562000,734325000,-274401000,0,2424346000,664499000,NA,6552,0.5303734015838789,50160000,0.018432888447584044,0,481590000,0.10861984969731964,631425.8241758242,42695.81807081807,123920.32967032967,370016.1782661783,0.5860010219714187,2020923000,0.4558075385906192,0.07128934619236217,48241.30036630037,52892000,12451137000,0.004247965466928844,405474.6642246642,61685.89743589744,0.4696265984161211,0.613756168634916,415327.07570207573,676697.1916971917,0,0.3288096577652884,0.14987392077081998,0.9544302590814694,-1.6593061118491366
Akraneskaupstaður,2013,A og B-hluti,3179473000,11712572000,2302741000,5017536000,2656670000,397654000,811926000,4829635000,222279000,0,0,190663000,-408798000,60000000,0,-113905000,5252330000,881274000,451097000,0,876732000,-338146000,60000000,2908619000,641617000,NA,6552,0.4484352369402724,173905000,0.05469617134663512,0,410180000,0.081749288893991,737123.778998779,68848.74847374848,123920.32967032967,443928.4188034188,0.6022440619218636,2298199000,0.45803338531103716,0.03799932875419329,29099.969474969475,-262000000,14123307000,-0.0185508960472218,405474.6642246642,60692.00244200244,0.5515647630597276,0.6336721849130729,485267.5518925519,765802.1978021978,9157.509157509157,0.27918252509900143,0.12787491709077922,1.0051806025102312,-1.569520888066967
