sveitarfelag,ar,hluti,name,obs,vidmid,diff,colour
Akraneskaupstaður,2010,A-hluti,nettoskuldir,1.1821419443226215,1,0.18214194432262154,TRUE
Akraneskaupstaður,2010,A-hluti,rekstrarnidurstada,-0.07404857499333428,0,-0.07404857499333428,FALSE
Akraneskaupstaður,2010,A-hluti,framlegd,0.10507594215096715,0.11821419443226215,-0.013138252281295004,FALSE
Akraneskaupstaður,2010,A-hluti,veltufe,0.165517180257042,0.059107097216131076,0.10641008304091093,TRUE
Akraneskaupstaður,2010,A-hluti,veltufjarhlutfall,1.4199186047306303,1,0.41991860473063025,TRUE
Akraneskaupstaður,2010,A og B-hluti,nettoskuldir,1.143494211005594,1,0.1434942110055939,TRUE
Akraneskaupstaður,2010,A og B-hluti,rekstrarnidurstada,-0.06932505721356111,0,-0.06932505721356111,FALSE
Akraneskaupstaður,2010,A og B-hluti,framlegd,0.09706529886574117,0.11434942110055939,-0.01728412223481822,FALSE
Akraneskaupstaður,2010,A og B-hluti,veltufe,0.15890749378976254,0.057174710550279693,0.10173278323948284,TRUE
Akraneskaupstaður,2010,A og B-hluti,veltufjarhlutfall,1.497495443380036,1,0.49749544338003604,TRUE
Akraneskaupstaður,2011,A-hluti,nettoskuldir,1.1984421386790511,1,0.19844213867905114,TRUE
Akraneskaupstaður,2011,A-hluti,rekstrarnidurstada,0.030150395280136192,0,0.030150395280136192,TRUE
Akraneskaupstaður,2011,A-hluti,framlegd,0.04388798223092387,0.11984421386790511,-0.07595623163698124,FALSE
Akraneskaupstaður,2011,A-hluti,veltufe,0.10184527970575719,0.05992210693395256,0.04192317277180463,TRUE
Akraneskaupstaður,2011,A-hluti,veltufjarhlutfall,0.9297019573202435,1,-0.07029804267975648,FALSE
Akraneskaupstaður,2011,A og B-hluti,nettoskuldir,1.191746940549412,1,0.1917469405494121,TRUE
Akraneskaupstaður,2011,A og B-hluti,rekstrarnidurstada,0.02075168762136487,0,0.02075168762136487,TRUE
Akraneskaupstaður,2011,A og B-hluti,framlegd,0.02596140824932526,0.11917469405494122,-0.09321328580561596,FALSE
Akraneskaupstaður,2011,A og B-hluti,veltufe,0.09147173509011325,0.05958734702747061,0.03188438806264264,TRUE
Akraneskaupstaður,2011,A og B-hluti,veltufjarhlutfall,1.1983594296836797,1,0.1983594296836797,TRUE
Akraneskaupstaður,2012,A-hluti,nettoskuldir,1.1594717858846353,1,0.1594717858846353,TRUE
Akraneskaupstaður,2012,A-hluti,rekstrarnidurstada,0.00943534599583108,0,0.00943534599583108,TRUE
Akraneskaupstaður,2012,A-hluti,framlegd,0.033693040831648806,0.11594717858846353,-0.08225413775681473,FALSE
Akraneskaupstaður,2012,A-hluti,veltufe,0.09963064573415555,0.05797358929423176,0.04165705643992378,TRUE
Akraneskaupstaður,2012,A-hluti,veltufjarhlutfall,1.0326300343188004,1,0.032630034318800405,TRUE
Akraneskaupstaður,2012,A og B-hluti,nettoskuldir,1.2074384731668013,1,0.2074384731668013,TRUE
Akraneskaupstaður,2012,A og B-hluti,rekstrarnidurstada,-0.0052876220775095835,0,-0.0052876220775095835,FALSE
Akraneskaupstaður,2012,A og B-hluti,framlegd,0.017843452175956176,0.12074384731668013,-0.10290039514072395,FALSE
Akraneskaupstaður,2012,A og B-hluti,veltufe,0.08863855084312065,0.060371923658340064,0.02826662718478059,TRUE
Akraneskaupstaður,2012,A og B-hluti,veltufjarhlutfall,1.1469526686671987,1,0.1469526686671987,TRUE
Akraneskaupstaður,2013,A-hluti,nettoskuldir,1.027701343341483,1,0.027701343341482998,TRUE
Akraneskaupstaður,2013,A-hluti,rekstrarnidurstada,0.004247965466928844,0,0.004247965466928844,TRUE
Akraneskaupstaður,2013,A-hluti,framlegd,0.10861984969731964,0.1027701343341483,0.005849715363171332,TRUE
Akraneskaupstaður,2013,A-hluti,veltufe,0.14987392077081998,0.05138506716707415,0.09848885360374583,TRUE
Akraneskaupstaður,2013,A-hluti,veltufjarhlutfall,0.9544302590814694,1,-0.04556974091853061,FALSE
Akraneskaupstaður,2013,A og B-hluti,nettoskuldir,1.1118939654842537,1,0.11189396548425368,TRUE
Akraneskaupstaður,2013,A og B-hluti,rekstrarnidurstada,-0.0185508960472218,0,-0.0185508960472218,FALSE
Akraneskaupstaður,2013,A og B-hluti,framlegd,0.081749288893991,0.11118939654842537,-0.029440107654434375,FALSE
Akraneskaupstaður,2013,A og B-hluti,veltufe,0.12787491709077922,0.055594698274212685,0.07228021881656654,TRUE
Akraneskaupstaður,2013,A og B-hluti,veltufjarhlutfall,1.0051806025102312,1,0.005180602510231225,TRUE
Akraneskaupstaður,2014,A-hluti,nettoskuldir,0.9489245642944455,1,-0.051075435705554506,FALSE
Akraneskaupstaður,2014,A-hluti,rekstrarnidurstada,0.03380121556003126,0,0.03380121556003126,TRUE
Akraneskaupstaður,2014,A-hluti,framlegd,0.0692126269379847,0.09489245642944455,-0.025679829491459846,FALSE
Akraneskaupstaður,2014,A-hluti,veltufe,0.16515376852224026,0.047446228214722275,0.11770754030751798,TRUE
Akraneskaupstaður,2014,A-hluti,veltufjarhlutfall,1.0081724500612677,1,0.008172450061267655,TRUE
